"00" "AdmsST"
"01" "AlexRd"
"03" "BlueMCS"
"04" "BlueMDS"
"05" "BonnBrk"
"06" "Cheaha"
"07" "Coldwtr"
"08" "Crawfrd"
"09" "DearmVL"
"0A" "E_Jcksn"
"0B" "4th_St"
"0C" "4th_St"
"0D" "GldnSpg"
"0E" "GrantAv"
"0F" "HapHill"
"0H" "HenryRd"
"0I" "HghLand"
"0J" "HollisX"
"0L" "JcksnDS"
"0M" "LenLock"
"0N" "N_Hefln"
"0O" "N_Qntrd"
"0P" "OxfrdCS"
"0Q" "OxfrdDS"
"0R" "Piedmnt"
"0S" "Quintrd"
"0T" "Ranburn"
"0V" "16th_St"
"0W" "S_Anstn"
"0X" "TurnrRd"
"0Y" "21stSt"
"0Z" "23stSt"
"10" "Weaver"
"11" "WestEnd"
"12" "W_Hefln"
"13" "N_Holis"
"14" "SthWire"
"15" "FtMcCln"
"16" "AshVLDS"
"17" "AttalCS"
"18" "AttalDS"
"19" "Ballply"
"1A" "BlckCrk"
"1B" "CmpSbrt"
"1C" "CdrBend"
"1E" "E_GadCS"
"1F" "E_GadDS"
"1G" "Ednwood"
"1H" "EliotAv"
"1I" "Elmwood"
"1J" "Kllyton"
"1K" "4thAvCS"
"1L" "4thAvCS"
"1M" "GdsdnCS"
"1N" "GdsdnCS"
"1Q" "KlngBnd"
"1S" "LookMtn"
"1T" "MorgXRd"
"1U" "OdellCS"
"1W" "PadnrCS"
"1X" "PadnrCS"
"1Y" "RainCty"
"1Z" "GulfStS"
"20" "ShadGrv"
"21" "ShlVlly"
"22" "6thStCS"
"23" "Steele"
"24" "TaborDS"
"25" "3rdAtCS"
"26" "3rdAtDS"
"27" "N_3rdCS"
"28" "N_3rdCS"
"2A" "SelfVL"
"2B" "EccAm02"
"2C" "S_Glnco"
"2D" "Altoona"
"2E" "BlntsVL"
"2F" "BrookVL"
"2H" "Hendrix"
"2J" "MrphVly"
"2L" "OnteCS"
"2N" "Remlap"
"2P" "SpgVlly"
"2R" "LinVLDS"
"2V" "RoankCS"
"2W" "RoankDS"
"2Y" "Wadley"
"2Z" "Wedowee"
"31" "AlaColl"
"33" "CantBry"
"34" "CantBry"
"36" "CrestLn"
"38" "EastLkcs"
"39" "Eastwood"
"3A" "Fairfld"
"3D" "Glencoe"
"3E" "Glencoe"
"3H" "LAKEHICS"
"3J" "Lipscomb"
"3K" "MidFldCS"
"3M" "NoHighCS"
"3N" "Oakland"
"3O" "PrattCS"
"3Q" "SAULTERD"
"3R" "SixthST"
"3S" "SmithFL"
"3T" "3rdAve"
"3U" "TitusVL"
"3V" "VinesVL"
"3W" "Wahouma"
"3X" "WestEnd"
"3Y" "WestEnd"
"3Z" "Woodlwn"
"40" "WylamCS"
"41" "AdmsVL"
"42" "Alabast"
"43" "Apex"
"44" "BhamPrt"
"45" "Biscayn"
"46" "BlufPrk"
"47" "BrakeST"
"48" "BrirClf"
"49" "BrirClf"
"4B" "Calera"
"4C" "Cardiff"
"4D" "CentrPt"
"4E" "ChalkVL"
"4F" "Chelsea"
"4G" "Clay"
"4H" "Columb"
"4I" "Concord"
"4J" "ChaceLk"
"4K" "Docena"
"4M" "E_Trusv"
"4N" "E_MntVL"
"4O" "ForstDL"
"4P" "ForstDL"
"4Q" "FultSpg"
"4R" "Gardale"
"4S" "GreenDR"
"4T" "GreenST"
"4U" "GrnVlly"
"4V" "GrnVlly"
"4W" "GreenWD"
"4X" "Hoover"
"4Y" "Hoover"
"50" "Huffman"
"51" "Huffman"
"52" "Invrnes"
"53" "BesElec"
"54" "Johns"
"55" "Ketona"
"56" "Lees_JN"
"57" "LeedsDS"
"58" "LchHavn"
"59" "LongVW"
"5A" "MassyRd"
"5B" "Lovick"
"5C" "Maytown"
"5D" "Mcadory"
"5E" "MonteVL"
"5F" "Moody"
"5G" "Morris"
"5I" "MtPinsn"
"5K" "N_AdmVL"
"5L" "N_GryVL"
"5M" "N_Robuk"
"5N" "N_Robuk"
"5O" "OdenVL"
"5P" "OdomRD"
"5Q" "Parkway"
"5R" "Parkwood"
"5S" "PattChp"
"5T" "Pawnee"
"5U" "Pelham"
"5W" "PowderP"
"5Y" "RockyRg"
"60" "Shelby"
"64" "SprngVL"
"66" "Traffrd"
"67" "TrussVL"
"69" "25StDs"
"6B" "VdaleDS"
"6D" "WARRIOR"
"6E" "W_Colmb"
"6G" "Westovr"
"6I" "Besemer"
"6K" "Boyles"
"6L" "Clairmt"
"6N" "CoClub"
